Season,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Season Total
Current Normals*,0.02,0.0,0.13,0.58,0.78,2.48,3.29,3.64,2.23,0.69,0.32,0.09,14.25
2024-2025,0.0,0.0,0.0,0.0,0.14,0.02,0.54,---,---,---,---,---,0.70 (1)
2023-2024,0.0,2.99,0.05,T,0.36,2.82,2.05,12.66,3.5,0.63,0.13,0.0,25.19
2022-2023,0.0,0.0,0.37,0.02,1.98,2.81,8.95,5.95,7.71,0.06,0.55,T,28.4
2021-2022,0.22,T,0.01,0.71,T,9.46,0.19,0.06,1.41,0.33,0.0,0.01,12.4
2020-2021,0.0,T,0.0,0.0,0.11,1.84,2.44,T,1.41,0.0,0.0,0.02,5.82
2019-2020,T,0.0,0.03,0.0,2.12,4.84,0.32,0.04,4.35,3.02,0.14,0.0,14.86
2018-2019,T,0.0,0.0,0.57,1.58,2.11,5.95,5.59,2.19,0.02,0.81,T,18.82
2017-2018,0.0,T,0.07,0.1,0.01,0.01,1.77,0.03,2.69,0.02,0.09,0.0,4.79
2016-2017,0.0,0.0,T,0.52,0.88,4.55,8.38,4.17,0.09,0.08,0.32,0.01,19.0
2015-2016,0.38,T,2.39,0.45,0.01,0.57,3.17,0.79,1.6,0.24,0.05,0.0,9.65
2014-2015,T,0.04,0.01,0.25,0.48,3.88,1.09,0.83,0.87,0.13,0.93,0.01,8.52
2013-2014,0.09,0.0,0.0,0.06,0.62,0.2,T,3.58,1.18,0.35,0.0,0.0,6.08
2012-2013,0.01,0.0,T,0.02,1.03,2.16,1.18,0.2,0.54,T,0.71,0.0,5.85
2011-2012,0.0,0.0,T,1.17,1.58,1.01,1.3,0.16,1.75,1.71,0.01,0.0,8.69
2010-2011,T,0.0,T,0.94,0.53,10.23,0.79,3.29,3.96,T,0.45,0.01,20.2
2009-2010,0.0,0.0,0.0,2.07,0.01,2.89,4.94,4.27,0.48,1.65,0.05,0.0,16.36
2008-2009,0.0,0.0,T,0.02,1.85,2.79,0.34,3.57,0.33,0.03,T,0.15,9.08
2007-2008,T,T,0.52,0.95,0.56,1.73,7.97,1.64,0.01,0.04,0.11,0.0,13.53
